Gene	Stat	Length
Mrpl32	-7.84386179476098	2272
Tra2a	-7.84098617998863	800
Tmem60	-7.74873089066886	230
Actr6	-7.45098829743176	458
Ric8b	-7.35686376077988	3149
Hnrnph1	-7.12224941156208	3825
2610301B20Rik	-7.05201936767169	1893
Snx15	-7.00223827918968	1015
Lin52	-6.91317860124111	1788
Ppil4	-6.77675150198182	3229
Tfip11	-6.76998554690584	1020
Mrpl40	-6.67071642124975	320
Dip2a	-6.65626327890056	3407
Abhd10	-6.64439886610853	3035
Optn	-6.63995855707911	2455
Cul5	-6.5285818447017	5260
Cpsf3l	-6.51612786109406	1016
Amn1	-6.51422627916883	894
Ncbp1	-6.49217349371241	952
Atraid	-6.48454018427622	371
Ddx56	-6.45680769656482	4975
Cdc42ep2	-6.4328557725664	475
Zfyve19	-6.4198755904732	1312
Akap5	-6.398268275881	4099
Ccdc32	-6.37374037647999	1578
Unc50	-6.37296975664854	542
Fam50a	-6.36700684724116	519
Ttc4	-6.35605198873099	2406
Thoc3	-6.31997439905857	8580
Nupl1	-6.30869435530497	2505
Faf1	-6.29763762056053	2352
Uckl1	-6.27364504592917	1778
Brms1l	-6.2666528224623	1457
Commd9	-6.26605696151328	1348
Polr2a	-6.23873026322039	916
Sec24c	-6.22919991157675	1059
Rragc	-6.22161295917148	1641
Ktn1	-6.18485303943968	6882
Taf12	-6.08960006555317	3268
Rufy2	-6.08817545119637	7663
Grb14	-6.07934939834307	4233
Klhl8	-6.07773210136862	1550
Rnf216	-6.07133758641734	2563
Brd9	-6.06879046485609	557
Polr2b	-6.06238972832011	1261
Gba	-6.05915443095638	450
Nae1	-6.0535809482273	3498
Dnajb1	-6.0523595099901	1084
Tbk1	-6.05088869039623	682
Cpeb1	-6.00806783041822	2245
Fnbp1l	-6.00751852875096	3583
Tceal1	-6.00637696397373	2170
Nif3l1	-6.0061607936363	1859
Pdp1	-5.99365053379034	2389
Sac3d1	-5.97962489619496	90
H1f0	-5.96362751578894	1194
Cstf2	-5.91970032661951	4176
Maea	-5.9147241742812	932
Nprl3	-5.8982856213066	4774
Sfr1	-5.87130479867938	570
Zscan18	-5.84213539469857	1109
Crebzf	-5.8151112831772	3726
A430005L14Rik	-5.81509727400265	1313
Fam98b	-5.81362725235404	611
Prepl	-5.80220758603043	1548
Prr14l	-5.80055378558712	4624
Dnajc12	-5.78247721492258	652
Camkk1	-5.77946355665772	1853
Rragb	-5.76545934654173	630
Rps19bp1	-5.75871577541196	370
Wsb1	-5.75267027817671	1834
Tmem19	-5.7457724679256	1980
Rsl1d1	-5.74352156147864	891
Ss18l1	-5.7258802855987	2843
Coq3	-5.72586196559888	1705
Tmem230	-5.7147168491865	1270
Tardbp	-5.70781950360816	5265
C1galt1c1	-5.69283995444804	384
Sbds	-5.66655190348397	1052
S100pbp	-5.66137783585416	6399
Snapc1	-5.65268518466815	5176
Rae1	-5.63715191532231	727
Pxk	-5.61853991934554	1888
Golph3l	-5.60080906542636	1775
Apmap	-5.57354306518273	1061
Ric3	-5.5671026700226	7525
Ift46	-5.56315351922194	3035
Nck1	-5.55830153000228	3183
Sertm1	-5.55745056174589	2211
Kat2b	-5.54805592695657	1167
Hexa	-5.54633614460226	221
Rps6ka5	-5.52904028992734	2979
Fbxo7	-5.51428926107053	4304
Rchy1	-5.50259010190972	1111
Slc25a20	-5.49818722964935	747
Mier2	-5.49314400433117	1870
Gmeb2	-5.47722889749394	3785
B630005N14Rik	-5.47664221148964	5807
Bclaf1	-5.47430187436859	4572
Prrc1	-5.4733864075723	3290
H2afy2	-5.47159396503412	650
Fnbp4	-5.46739220705596	2666
Eefsec	-5.45738797412306	1058
Lrrc16b	-5.45709356593592	319
Fbxl5	-5.4558242357009	7758
Chfr	-5.45322946935219	1229
Pigf	-5.44233193250174	198
Drosha	-5.44079814587033	2296
Urod	-5.42919927578733	2351
Hmbs	-5.42761336792002	324
Ankmy2	-5.42215207868226	1299
Snx32	-5.42164793547525	854
Slc25a14	-5.41931648901079	1190
Tmem62	-5.41790599784597	1236
Klhl17	-5.4156072808166	1207
Vcpip1	-5.4081235664092	5860
Rab30	-5.40120918405195	8627
Ctsa	-5.390696611746	4060
Ppp2r1b	-5.37976509606508	3958
Cpne8	-5.37683543255252	2478
Rabgef1	-5.37656345775215	2265
Msantd4	-5.37236371851132	1555
Bbs7	-5.37192132579695	1781
Ift74	-5.36869867175505	694
Fgl2	-5.34056372626929	2426
Phax	-5.33945073624153	565
Dlx6	-5.3364922561818	1044
Smg9	-5.32520997142304	1675
Ap1m1	-5.32198969807568	1363
Pycr2	-5.3209168093264	446
Sf3b1	-5.31872110517234	2165
Pes1	-5.31791933077895	2801
Pcmtd2	-5.3174294469649	2721
Wrnip1	-5.31694482893886	2386
Naa25	-5.31575026578762	5899
Pex7	-5.31404847828804	3017
Wdr41	-5.31386119685371	3036
Rpf2	-5.31125290849985	675
Usp30	-5.30886419272475	1717
Uimc1	-5.29240523611625	3286
Pdia3	-5.29234910578737	1734
St6gal1	-5.28983839449556	2518
Rab40c	-5.28872102348463	1835
Suco	-5.27237003066499	2254
Edc3	-5.25558808878597	4002
Snapc3	-5.25369297121494	3624
Rasa2	-5.25353582512989	4032
P2rx4	-5.24766887642309	1835
Hibadh	-5.24724065411914	955
Slc35a1	-5.2334048630216	1299
Son	-5.23174007168561	3843
Fam160b2	-5.22417660682554	1750
Mageh1	-5.21201133658588	516
Frg1	-5.20943248567977	154
Stx16	-5.20626673884476	2748
Snx16	-5.18790301302474	1310
Sema4f	-5.18360125362036	2549
Nudt16l1	-5.1835531704204	826
Aco1	-5.18206604320496	1767
Alg9	-5.18147063741653	1248
Rbmx	-5.17879029650034	2266
Actr8	-5.16936590400724	1547
Tmem14a	-5.16817910838885	582
Usp39	-5.15152297629858	797
Snx19	-5.14732524015019	2308
Nup85	-5.14256718752194	1520
Hsph1	-5.13766405607667	4299
Manea	-5.13705855417755	3584
Nprl2	-5.13631456008679	148
Tbc1d19	-5.13598565962271	5807
Rap1b	-5.1285787129229	1310
Pa2g4	-5.11589364750764	1694
C030014I23Rik	-5.11537112174918	2446
Ccdc107	-5.11246313665695	1275
Acad11	-5.10641390007592	1098
Twsg1	-5.10359542244235	4287
Stoml1	-5.08790019873531	1369
Wdr34	-5.0878500125687	785
Fam98a	-5.08693074904277	2322
Prpf4b	-5.08454790653377	1799
Snx2	-5.08143373252832	438
2610008E11Rik	-5.08087812136565	2097
Galt	-5.07585401240582	2172
Peo1	-5.06766386512357	858
Ruvbl1	-5.06677076553001	185
Nipsnap3b	-5.0642117845885	1396
Ell2	-5.06402248866812	3376
Upf2	-5.06203771691491	1270
Znrd1	-5.05952400973498	195
AK158068	-5.05733837242093	1272
Kcna6	-5.05201429303113	2026
Psmd10	-5.04136401443767	877
Qpct	-5.03724577652532	475
Prpsap2	-5.03300072888383	773
Tia1	-5.03228864556424	11150
Hmgb3	-5.03110767086116	979
AI854517	-5.02604421196513	3215
Rnf149	-5.02541655208578	1242
Rilpl1	-5.02375823983495	620
Arhgap23	-5.01561926072172	2339
Ttc19	-5.01163501862821	3655
Rnf185	-5.00447180998344	2114
Hdac3	-5.00087802191613	1839
Adprm	-4.99150028953576	978
Trim33	-4.98439174031833	5068
Yipf6	-4.9827664999183	5541
Reps1	-4.98274234155133	1645
Stam2	-4.97773768173886	3837
Sec11a	-4.97318510891006	3333
Ppm1k	-4.96803625367992	4216
Pop4	-4.96638151085279	353
Uap1l1	-4.96093510302531	2048
Ikbkap	-4.95436691113758	5368
Rpn2	-4.95299303926972	1733
Ermard	-4.94257697080095	1608
Bet1	-4.94199682706731	2299
Dnajc30	-4.93688342368411	455
Mak16	-4.92571459710816	921
Mmadhc	-4.9247533064309	631
Pycrl	-4.92130001303566	434
Otud4	-4.91855631229464	4257
Osbpl11	-4.91616120874067	1514
Polr1c	-4.90912885240371	1323
Scfd1	-4.90673967603994	3411
Ppp1r21	-4.90253023635207	654
1110058L19Rik	-4.90241548628994	653
Slc25a53	-4.89424524689406	5258
Sf3b3	-4.89179036021306	1572
Ash2l	-4.88874900574536	3593
Med30	-4.88762553472474	269
Dbr1	-4.87487270185446	1062
1700011J10Rik	-4.87375131444573	899
Cttnbp2	-4.87162221967009	5077
Apbb3	-4.86866545672815	527
Pgrmc2	-4.86801718592163	2398
Ilf2	-4.86714347427259	3991
Ube2g2	-4.86087984914187	1547
Neu1	-4.86071731480202	2892
Med20	-4.86055406991311	7576
Ebpl	-4.86053603793513	1401
Jdp2	-4.85049570518554	4945
Hdgfrp2	-4.84473607494253	151
Mon2	-4.84089119411315	3721
Sacm1l	-4.83934331059322	1661
Irak1bp1	-4.81862893709118	891
Chd1	-4.80678123659096	4184
Skiv2l2	-4.80665168322119	2163
Cdc16	-4.80210895986729	903
Pdss1	-4.80031477423899	1364
Fzr1	-4.79995163684563	2067
Ints8	-4.7951721390927	4209
Panx1	-4.7895936650101	1745
Sowahc	-4.78598528398227	4208
Gtpbp8	-4.78476549972472	2591
Tmem128	-4.77507699820561	1353
Prkci	-4.76789944256548	3164
Celsr2	-4.76679529182717	3000
Mpp1	-4.76377925152665	3933
Fbxo38	-4.76043609643809	1478
Dusp15	-4.75631524823461	3787
Uhrf1bp1	-4.7547787359464	4241
Ptpla	-4.75405570218502	1240
Lrrc8c	-4.75394328083957	4686
Gemin6	-4.75089324048387	678
Cwc15	-4.74071301445644	291
Vamp7	-4.73927207088139	1739
Mat2b	-4.73431114113263	3274
Arsb	-4.73293731076205	4133
D15Ertd621e	-4.73040267186751	2869
AK039132	-4.72887700881282	3169
Phtf2	-4.72861514797322	4867
Cbx4	-4.72509475656736	4250
Lrp3	-4.72306959828436	1592
Kpnb1	-4.72050282489869	3581
Larp1b	-4.71844893648185	3717
Nup62	-4.71798529917668	666
Hsd17b4	-4.7142577337885	1327
Snrpb2	-4.7108971161564	1907
Ablim2	-4.70954347404909	4703
2310045N01Rik	-4.70759324105521	959
Stambp	-4.70742940130059	774
Mtx2	-4.70389864280287	2749
Cacul1	-4.69855013895115	4351
Rpap3	-4.69585322825712	189
Tsfm	-4.69384149511265	1771
Hs3st1	-4.68922643690732	7413
Rad17	-4.68875711065489	480
Pnpt1	-4.68546211875241	1222
Sp9	-4.68307969783572	3182
Pnrc1	-4.67749018502371	1084
Slc25a28	-4.67602518163088	3004
Klhl23	-4.66988871934101	3395
0610009B22Rik	-4.66894327636095	262
Acadvl	-4.66879795441844	1081
Smad1	-4.66766353840239	3886
Scn1a	-4.6666961444782	6138
AK082338	-4.66125275041062	2575
Rai2	-4.65857038151625	354
BC016423	-4.65323145806675	3949
Sephs1	-4.65031507266482	3857
Med4	-4.64894453064843	479
Gpatch4	-4.64669302968724	461
Nrbp1	-4.64657232944732	2047
Zfp941	-4.64608463335415	2628
Ythdc2	-4.64258119559993	1932
Fam114a2	-4.64256230793825	1348
Tlk2	-4.63366140216385	4297
Srek1	-4.63081787851231	7043
Abhd3	-4.62316440220852	646
Kdm1a	-4.62269720488495	1536
Csnk1e	-4.62191822822244	3731
Avl9	-4.62047731219267	5459
Gramd1a	-4.61878292766589	458
Lrsam1	-4.60784700314879	1791
Gon4l	-4.6077078057126	716
Gtpbp1	-4.60415122850804	1380
Lemd3	-4.60326481147846	1982
Nosip	-4.60219960867416	2045
Minpp1	-4.5925937768292	1001
